group,function,value,sample_time_nanos,iteration_count
Day1 - Part1,(default),,975530,7482
Day1 - Part1,(default),,1937780,14964
Day1 - Part1,(default),,2910144,22446
Day1 - Part1,(default),,3888564,29928
Day1 - Part1,(default),,5279939,37410
Day1 - Part1,(default),,5857709,44892
Day1 - Part1,(default),,7003880,52374
Day1 - Part1,(default),,8015811,59856
Day1 - Part1,(default),,9780531,67338
Day1 - Part1,(default),,9723391,74820
Day1 - Part1,(default),,11036951,82302
Day1 - Part1,(default),,12010849,89784
Day1 - Part1,(default),,12788734,97266
Day1 - Part1,(default),,13864213,104748
Day1 - Part1,(default),,14617175,112230
Day1 - Part1,(default),,15757938,119712
Day1 - Part1,(default),,16688284,127194
Day1 - Part1,(default),,17486218,134676
Day1 - Part1,(default),,18642948,142158
Day1 - Part1,(default),,19446753,149640
Day1 - Part1,(default),,20621475,157122
Day1 - Part1,(default),,21591624,164604
Day1 - Part1,(default),,22367548,172086
Day1 - Part1,(default),,23530296,179568
Day1 - Part1,(default),,24300610,187050
Day1 - Part1,(default),,25503383,194532
Day1 - Part1,(default),,26277225,202014
Day1 - Part1,(default),,27624320,209496
Day1 - Part1,(default),,28522289,216978
Day1 - Part1,(default),,30474481,224460
Day1 - Part1,(default),,30182202,231942
Day1 - Part1,(default),,31380303,239424
Day1 - Part1,(default),,32513268,246906
Day1 - Part1,(default),,33209216,254388
Day1 - Part1,(default),,34259321,261870
Day1 - Part1,(default),,35253219,269352
Day1 - Part1,(default),,36974501,276834
Day1 - Part1,(default),,37939192,284316
Day1 - Part1,(default),,37968379,291798
Day1 - Part1,(default),,39225820,299280
Day1 - Part1,(default),,40234362,306762
Day1 - Part1,(default),,40860401,314244
Day1 - Part1,(default),,42413857,321726
Day1 - Part1,(default),,43197950,329208
Day1 - Part1,(default),,44374463,336690
Day1 - Part1,(default),,45215582,344172
Day1 - Part1,(default),,45950202,351654
Day1 - Part1,(default),,46801480,359136
Day1 - Part1,(default),,47751125,366618
Day1 - Part1,(default),,48764494,374100
Day1 - Part1,(default),,49809953,381582
Day1 - Part1,(default),,50615393,389064
Day1 - Part1,(default),,52926693,396546
Day1 - Part1,(default),,52756743,404028
Day1 - Part1,(default),,54211397,411510
Day1 - Part1,(default),,56238412,418992
Day1 - Part1,(default),,55758448,426474
Day1 - Part1,(default),,57346238,433956
Day1 - Part1,(default),,58206973,441438
Day1 - Part1,(default),,58847754,448920
Day1 - Part1,(default),,59637620,456402
Day1 - Part1,(default),,60464090,463884
Day1 - Part1,(default),,62977580,471366
Day1 - Part1,(default),,64156476,478848
Day1 - Part1,(default),,67466267,486330
Day1 - Part1,(default),,65553097,493812
Day1 - Part1,(default),,65204168,501294
Day1 - Part1,(default),,66588963,508776
Day1 - Part1,(default),,68111088,516258
Day1 - Part1,(default),,69305321,523740
Day1 - Part1,(default),,69447681,531222
Day1 - Part1,(default),,71230103,538704
Day1 - Part1,(default),,71316415,546186
Day1 - Part1,(default),,76427715,553668
Day1 - Part1,(default),,74252432,561150
Day1 - Part1,(default),,74471751,568632
Day1 - Part1,(default),,75648911,576114
Day1 - Part1,(default),,77226749,583596
Day1 - Part1,(default),,77152631,591078
Day1 - Part1,(default),,82494450,598560
Day1 - Part1,(default),,79988344,606042
Day1 - Part1,(default),,80091854,613524
Day1 - Part1,(default),,81500198,621006
Day1 - Part1,(default),,82277934,628488
Day1 - Part1,(default),,83470603,635970
Day1 - Part1,(default),,86325057,643452
Day1 - Part1,(default),,86105608,650934
Day1 - Part1,(default),,86180525,658416
Day1 - Part1,(default),,87242194,665898
Day1 - Part1,(default),,88228215,673380
Day1 - Part1,(default),,93147432,680862
Day1 - Part1,(default),,89864258,688344
Day1 - Part1,(default),,90925526,695826
Day1 - Part1,(default),,92268033,703308
Day1 - Part1,(default),,93012454,710790
Day1 - Part1,(default),,93762118,718272
Day1 - Part1,(default),,98045975,725754
Day1 - Part1,(default),,96726491,733236
Day1 - Part1,(default),,96662681,740718
Day1 - Part1,(default),,100170634,748200
